PHONE_USE_MTH,L90D_RG_CTT_TM,SCR_CELL_CALLED_TIMES,SCR_CELL_CALLED_PHONE_CNT,SCR_CELL_CTT_DAYS_CNT,SCR_CELL_CALLED_CTT_DAYS_CNT,SCR_CELL_180_CALLING_SUBTTL,SCR_CELL_MRNG_CALLED_TIMES,SCR_CELL_CALL_TTL_TIME,SCR_CELL_AFTN_CALL_TTL_TIME,SCR_CELL_NIGHT_CALL_TTL_TIME,SCR_CELL_90DAY_CALLING_TIMES,SCR_CELL_90DAY_CALL_TIMES,SCR_CELL_CALL_PHONE_CNT,SCR_CELL_CALLING_CTT_DAYS_CNT,SCR_CELL_CALLED_TTL_TIME,SCR_CELL_NIGHT_CALLED_TTL_TIME,SCR_CELL_AFTN_CALLING_TTL_TIME,SCR_CELL_NIGHT_CALLING_TTL_TIME,SCR_CELL_DAY_CALLING_TTL_TIME,SCR_CELL_EVN_CALL_TTL_TIME,SCR_CELL_CALLING_TTL_TIME,SCR_CELL_90DAY_CALLING_TTL_TIME,SCR_CELL_CALL_SMY_ANS_AFTN_CNT,SCR_CELL_CALL_SMY_ANS_AFTN_TM,SCR_CELL_LOCAL_CALL_TIME,SCR_CELL_90DAY_CALL_TTL_TIME,SCR_CELL_CALL_LSTM2_CONTACTS_CNT,SCR_CELL_NET_LSTM6_ONL_FLOW,SMS_L150D_TTL_PPL,SMS_L30D_SEND_CNT,SMS_L30D_TOTAL_CNT,sms_l90d_send_cnt,sms_l90d_total_cnt,SCR_CELL_SMS_LSTM3_SEND_CNT,TRC_LSM1_AVG_PLAN_AMT,TRC_LSM1_AVG_TOTAL_AMT,TRC_LSM5_PLAN_AMT,TRC_LSM5_TOTAL_AMT,SCR_CELL_MAX_PLAN_AMT,SCR_CELL_PH_USE_MONS
5,4015,555,105,170,152,0,234,89284,26369,4425,0,0,131,154,39165,10053,12740,2503,30632,437,50119,34591,148,13629,0,58536,76,-9999999,13,244,244,803,803,812,174,174.2,880,977.11,184,5
5,292,283,95,49,49,0,97,41809,13231,2240,0,0,116,45,22459,5376,5763,450,14048,0,19350,12041,112,7468,0,21462,52,-9999999,8,2,2,4,4,5,129,176.1,645,762.4,129,5
53,3387,951,300,149,148,0,119,75628,22195,13843,0,0,317,74,58363,25975,5119,4829,6830,7757,17265,3406,266,17076,68028,24144,85,-9999999,35,20,20,49,49,67,23,24.3,155,396.93,43,53
5,8902,3366,439,173,173,0,965,591813,189550,77912,0,0,583,172,322263,103187,92563,35218,171582,17591,269550,144897,1106,96987,0,316645,306,-9999999,42,20,20,53,53,49,199,1178.64,995,2911.78,199,5
5,9997,971,163,164,158,0,317,171848,49234,30370,0,0,235,154,86781,19876,25695,13807,51955,4637,85067,58485,275,23539,0,122843,128,-9999999,10,10,10,18,18,12,169,169.7,845,848.1,169,5
5,14201,811,403,167,163,0,361,140667,39165,2973,0,0,469,113,86870,31637,14394,959,29305,99,53797,15810,296,24771,0,49445,166,-9999999,16,1697,1697,2999,2999,1887,253,274.5,1109,1204.2,253,5
5,1033,282,62,141,112,0,72,31209,10912,10608,0,0,82,119,12577,1734,6963,6225,9777,6910,18632,7374,107,3949,0,13823,31,-9999999,15,112,112,359,359,404,147,147.4,735,738.2,147,5
1,2566,150,59,50,30,0,28,20220,2771,6209,0,0,109,0,11342,4619,0,0,0,2234,0,0,39,1502,0,20149,65,-9999999,47,15,174,75,818,87,229,0,1145,0,229,1
5,16098,1354,632,171,168,0,434,135569,55398,8657,0,0,708,152,79264,19215,22279,3419,35685,761,56305,32673,581,33119,0,77931,365,-9999999,16,2,2,18,18,19,199,199,796,992.19,199,5
72,785,5678,1117,173,173,0,1518,199915,76003,19503,0,0,1699,173,116035,30298,32515,8623,55510,2293,83880,36506,2069,43488,0,86757,692,-9999999,114,41,41,168,168,175,1,1,7902,389.25,3900,72
